object,survey,pdf,reason
HD 317010,GOODS: Chandra ACIS HB,1979ApJS___39__135J,no survey
HD 317010,GOODS: Chandra ACIS FB,1979ApJS___39__135J,no survey
HD 317010,GOODS: Chandra ACIS SB,1979ApJS___39__135J,no survey
HD 317010,GOODS: VLT VIMOS U,1979ApJS___39__135J,no survey
HD 317010,GOODS: VLT VIMOS R,1979ApJS___39__135J,no survey
HD 317010,GOODS: HST ACS B,1979ApJS___39__135J,no survey
HD 317010,GOODS: HST ACS V,1979ApJS___39__135J,no survey
HD 317010,GOODS: HST ACS I,1979ApJS___39__135J,no survey
HD 317010,GOODS: HST ACS Z,1979ApJS___39__135J,no survey
HD 317010,Hawaii HDF U,1979ApJS___39__135J,no survey
HD 317010,Hawaii HDF B,1979ApJS___39__135J,no survey
HD 317010,Hawaii HDF V0201,1979ApJS___39__135J,no survey
HD 317010,Hawaii HDF V0401,1979ApJS___39__135J,no survey
HD 317010,Hawaii HDF R,1979ApJS___39__135J,no survey
HD 317010,Hawaii HDF I,1979ApJS___39__135J,no survey
HD 317010,Hawaii HDF z,1979ApJS___39__135J,no survey
HD 317010,Hawaii HDF HK,1979ApJS___39__135J,no images
HD 317010,GOODS: HST NICMOS,1979ApJS___39__135J,no survey
HD 317010,GOODS: VLT ISAAC J,1979ApJS___39__135J,no survey
HD 317010,GOODS: VLT ISAAC H,1979ApJS___39__135J,no survey
HD 317010,GOODS: VLT ISAAC Ks,1979ApJS___39__135J,no survey
HD 317010,HUDF: VLT ISAAC Ks,1979ApJS___39__135J,no survey
HD 317010,GOODS: Spitzer IRAC 3.6,1979ApJS___39__135J,no survey
HD 317010,GOODS: Spitzer IRAC 4.5,1979ApJS___39__135J,no survey
HD 317010,GOODS: Spitzer IRAC 5.8,1979ApJS___39__135J,no survey
HD 317010,GOODS: Spitzer IRAC 8.0,1979ApJS___39__135J,no survey
HD 317010,GOODS: Spitzer MIPS 24,1979ApJS___39__135J,no survey
HD 317010,GOODS: Herschel 100,1979ApJS___39__135J,no survey
HD 317010,GOODS: Herschel 160,1979ApJS___39__135J,no survey
HD 317010,GOODS: Herschel 250,1979ApJS___39__135J,no survey
HD 317010,GOODS: Herschel 350,1979ApJS___39__135J,no survey
HD 317010,GOODS: Herschel 500,1979ApJS___39__135J,no survey
HD 317010,CDFS: LESS,1979ApJS___39__135J,no survey
HD 317010,GOODS: VLA North,1979ApJS___39__135J,no survey
