object,survey,pdf,reason
HD  23463,GOODS: Chandra ACIS HB,1918ApJ____47___38P,no survey
HD  23463,GOODS: Chandra ACIS FB,1918ApJ____47___38P,no survey
HD  23463,GOODS: Chandra ACIS SB,1918ApJ____47___38P,no survey
HD  23463,GOODS: VLT VIMOS U,1918ApJ____47___38P,no survey
HD  23463,GOODS: VLT VIMOS R,1918ApJ____47___38P,no survey
HD  23463,GOODS: HST ACS B,1918ApJ____47___38P,no survey
HD  23463,GOODS: HST ACS V,1918ApJ____47___38P,no survey
HD  23463,GOODS: HST ACS I,1918ApJ____47___38P,no survey
HD  23463,GOODS: HST ACS Z,1918ApJ____47___38P,no survey
HD  23463,Hawaii HDF U,1918ApJ____47___38P,no survey
HD  23463,Hawaii HDF B,1918ApJ____47___38P,no survey
HD  23463,Hawaii HDF V0201,1918ApJ____47___38P,no survey
HD  23463,Hawaii HDF V0401,1918ApJ____47___38P,no survey
HD  23463,Hawaii HDF R,1918ApJ____47___38P,no survey
HD  23463,Hawaii HDF I,1918ApJ____47___38P,no survey
HD  23463,Hawaii HDF z,1918ApJ____47___38P,no survey
HD  23463,Hawaii HDF HK,1918ApJ____47___38P,no images
HD  23463,GOODS: HST NICMOS,1918ApJ____47___38P,no survey
HD  23463,GOODS: VLT ISAAC J,1918ApJ____47___38P,no survey
HD  23463,GOODS: VLT ISAAC H,1918ApJ____47___38P,no survey
HD  23463,GOODS: VLT ISAAC Ks,1918ApJ____47___38P,no survey
HD  23463,HUDF: VLT ISAAC Ks,1918ApJ____47___38P,no survey
HD  23463,GOODS: Spitzer IRAC 3.6,1918ApJ____47___38P,no survey
HD  23463,GOODS: Spitzer IRAC 4.5,1918ApJ____47___38P,no survey
HD  23463,GOODS: Spitzer IRAC 5.8,1918ApJ____47___38P,no survey
HD  23463,GOODS: Spitzer IRAC 8.0,1918ApJ____47___38P,no survey
HD  23463,GOODS: Spitzer MIPS 24,1918ApJ____47___38P,no survey
HD  23463,GOODS: Herschel 100,1918ApJ____47___38P,no survey
HD  23463,GOODS: Herschel 160,1918ApJ____47___38P,no survey
HD  23463,GOODS: Herschel 250,1918ApJ____47___38P,no survey
HD  23463,GOODS: Herschel 350,1918ApJ____47___38P,no survey
HD  23463,GOODS: Herschel 500,1918ApJ____47___38P,no survey
HD  23463,CDFS: LESS,1918ApJ____47___38P,no survey
HD  23463,GOODS: VLA North,1918ApJ____47___38P,no survey
