object,survey,pdf,reason
IRAS 04306+2909,GOODS: Chandra ACIS HB,1992ApJ___386__248B,no survey
IRAS 04306+2909,GOODS: Chandra ACIS FB,1992ApJ___386__248B,no survey
IRAS 04306+2909,GOODS: Chandra ACIS SB,1992ApJ___386__248B,no survey
IRAS 04306+2909,GOODS: VLT VIMOS U,1992ApJ___386__248B,no survey
IRAS 04306+2909,GOODS: VLT VIMOS R,1992ApJ___386__248B,no survey
IRAS 04306+2909,GOODS: HST ACS B,1992ApJ___386__248B,no survey
IRAS 04306+2909,GOODS: HST ACS V,1992ApJ___386__248B,no survey
IRAS 04306+2909,GOODS: HST ACS I,1992ApJ___386__248B,no survey
IRAS 04306+2909,GOODS: HST ACS Z,1992ApJ___386__248B,no survey
IRAS 04306+2909,Hawaii HDF U,1992ApJ___386__248B,no survey
IRAS 04306+2909,Hawaii HDF B,1992ApJ___386__248B,no survey
IRAS 04306+2909,Hawaii HDF V0201,1992ApJ___386__248B,no survey
IRAS 04306+2909,Hawaii HDF V0401,1992ApJ___386__248B,no survey
IRAS 04306+2909,Hawaii HDF R,1992ApJ___386__248B,no survey
IRAS 04306+2909,Hawaii HDF I,1992ApJ___386__248B,no survey
IRAS 04306+2909,Hawaii HDF z,1992ApJ___386__248B,no survey
IRAS 04306+2909,Hawaii HDF HK,1992ApJ___386__248B,no images
IRAS 04306+2909,GOODS: HST NICMOS,1992ApJ___386__248B,no survey
IRAS 04306+2909,GOODS: VLT ISAAC J,1992ApJ___386__248B,no survey
IRAS 04306+2909,GOODS: VLT ISAAC H,1992ApJ___386__248B,no survey
IRAS 04306+2909,GOODS: VLT ISAAC Ks,1992ApJ___386__248B,no survey
IRAS 04306+2909,HUDF: VLT ISAAC Ks,1992ApJ___386__248B,no survey
IRAS 04306+2909,GOODS: Spitzer IRAC 3.6,1992ApJ___386__248B,no survey
IRAS 04306+2909,GOODS: Spitzer IRAC 4.5,1992ApJ___386__248B,no survey
IRAS 04306+2909,GOODS: Spitzer IRAC 5.8,1992ApJ___386__248B,no survey
IRAS 04306+2909,GOODS: Spitzer IRAC 8.0,1992ApJ___386__248B,no survey
IRAS 04306+2909,GOODS: Spitzer MIPS 24,1992ApJ___386__248B,no survey
IRAS 04306+2909,GOODS: Herschel 100,1992ApJ___386__248B,no survey
IRAS 04306+2909,GOODS: Herschel 160,1992ApJ___386__248B,no survey
IRAS 04306+2909,GOODS: Herschel 250,1992ApJ___386__248B,no survey
IRAS 04306+2909,GOODS: Herschel 350,1992ApJ___386__248B,no survey
IRAS 04306+2909,GOODS: Herschel 500,1992ApJ___386__248B,no survey
IRAS 04306+2909,CDFS: LESS,1992ApJ___386__248B,no survey
IRAS 04306+2909,GOODS: VLA North,1992ApJ___386__248B,no survey
