object,survey,pdf,reason
GEN# +9.00090520,GOODS: Chandra ACIS HB,1979AJ_____84_1149S,no survey
GEN# +9.00090520,GOODS: Chandra ACIS FB,1979AJ_____84_1149S,no survey
GEN# +9.00090520,GOODS: Chandra ACIS SB,1979AJ_____84_1149S,no survey
GEN# +9.00090520,GOODS: VLT VIMOS U,1979AJ_____84_1149S,no survey
GEN# +9.00090520,GOODS: VLT VIMOS R,1979AJ_____84_1149S,no survey
GEN# +9.00090520,GOODS: HST ACS B,1979AJ_____84_1149S,no survey
GEN# +9.00090520,GOODS: HST ACS V,1979AJ_____84_1149S,no survey
GEN# +9.00090520,GOODS: HST ACS I,1979AJ_____84_1149S,no survey
GEN# +9.00090520,GOODS: HST ACS Z,1979AJ_____84_1149S,no survey
GEN# +9.00090520,Hawaii HDF U,1979AJ_____84_1149S,no survey
GEN# +9.00090520,Hawaii HDF B,1979AJ_____84_1149S,no survey
GEN# +9.00090520,Hawaii HDF V0201,1979AJ_____84_1149S,no survey
GEN# +9.00090520,Hawaii HDF V0401,1979AJ_____84_1149S,no survey
GEN# +9.00090520,Hawaii HDF R,1979AJ_____84_1149S,no survey
GEN# +9.00090520,Hawaii HDF I,1979AJ_____84_1149S,no survey
GEN# +9.00090520,Hawaii HDF z,1979AJ_____84_1149S,no survey
GEN# +9.00090520,Hawaii HDF HK,1979AJ_____84_1149S,no images
GEN# +9.00090520,GOODS: HST NICMOS,1979AJ_____84_1149S,no survey
GEN# +9.00090520,GOODS: VLT ISAAC J,1979AJ_____84_1149S,no survey
GEN# +9.00090520,GOODS: VLT ISAAC H,1979AJ_____84_1149S,no survey
GEN# +9.00090520,GOODS: VLT ISAAC Ks,1979AJ_____84_1149S,no survey
GEN# +9.00090520,HUDF: VLT ISAAC Ks,1979AJ_____84_1149S,no survey
GEN# +9.00090520,GOODS: Spitzer IRAC 3.6,1979AJ_____84_1149S,no survey
GEN# +9.00090520,GOODS: Spitzer IRAC 4.5,1979AJ_____84_1149S,no survey
GEN# +9.00090520,GOODS: Spitzer IRAC 5.8,1979AJ_____84_1149S,no survey
GEN# +9.00090520,GOODS: Spitzer IRAC 8.0,1979AJ_____84_1149S,no survey
GEN# +9.00090520,GOODS: Spitzer MIPS 24,1979AJ_____84_1149S,no survey
GEN# +9.00090520,GOODS: Herschel 100,1979AJ_____84_1149S,no survey
GEN# +9.00090520,GOODS: Herschel 160,1979AJ_____84_1149S,no survey
GEN# +9.00090520,GOODS: Herschel 250,1979AJ_____84_1149S,no survey
GEN# +9.00090520,GOODS: Herschel 350,1979AJ_____84_1149S,no survey
GEN# +9.00090520,GOODS: Herschel 500,1979AJ_____84_1149S,no survey
GEN# +9.00090520,CDFS: LESS,1979AJ_____84_1149S,no survey
GEN# +9.00090520,GOODS: VLA North,1979AJ_____84_1149S,no survey
