object,survey,pdf,reason
ICRF J154743.5+205216,GOODS: Chandra ACIS HB,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,GOODS: Chandra ACIS FB,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,GOODS: Chandra ACIS SB,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,GOODS: VLT VIMOS U,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,GOODS: VLT VIMOS R,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,GOODS: HST ACS B,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,GOODS: HST ACS V,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,GOODS: HST ACS I,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,GOODS: HST ACS Z,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,Hawaii HDF U,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,Hawaii HDF B,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,Hawaii HDF V0201,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,Hawaii HDF V0401,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,Hawaii HDF R,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,Hawaii HDF I,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,Hawaii HDF z,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,Hawaii HDF HK,1996ApJ___457__557B,no images
ICRF J154743.5+205216,GOODS: HST NICMOS,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,GOODS: VLT ISAAC J,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,GOODS: VLT ISAAC H,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,GOODS: VLT ISAAC Ks,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,HUDF: VLT ISAAC Ks,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,GOODS: Spitzer IRAC 3.6,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,GOODS: Spitzer IRAC 4.5,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,GOODS: Spitzer IRAC 5.8,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,GOODS: Spitzer IRAC 8.0,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,GOODS: Spitzer MIPS 24,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,GOODS: Herschel 100,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,GOODS: Herschel 160,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,GOODS: Herschel 250,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,GOODS: Herschel 350,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,GOODS: Herschel 500,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,CDFS: LESS,1996ApJ___457__557B,no survey
ICRF J154743.5+205216,GOODS: VLA North,1996ApJ___457__557B,no survey
