object,survey,pdf,reason
NGC  6649   578,GOODS: Chandra ACIS HB,1975ApJ___197___55M,no survey
NGC  6649   578,GOODS: Chandra ACIS FB,1975ApJ___197___55M,no survey
NGC  6649   578,GOODS: Chandra ACIS SB,1975ApJ___197___55M,no survey
NGC  6649   578,GOODS: VLT VIMOS U,1975ApJ___197___55M,no survey
NGC  6649   578,GOODS: VLT VIMOS R,1975ApJ___197___55M,no survey
NGC  6649   578,GOODS: HST ACS B,1975ApJ___197___55M,no survey
NGC  6649   578,GOODS: HST ACS V,1975ApJ___197___55M,no survey
NGC  6649   578,GOODS: HST ACS I,1975ApJ___197___55M,no survey
NGC  6649   578,GOODS: HST ACS Z,1975ApJ___197___55M,no survey
NGC  6649   578,Hawaii HDF U,1975ApJ___197___55M,no survey
NGC  6649   578,Hawaii HDF B,1975ApJ___197___55M,no survey
NGC  6649   578,Hawaii HDF V0201,1975ApJ___197___55M,no survey
NGC  6649   578,Hawaii HDF V0401,1975ApJ___197___55M,no survey
NGC  6649   578,Hawaii HDF R,1975ApJ___197___55M,no survey
NGC  6649   578,Hawaii HDF I,1975ApJ___197___55M,no survey
NGC  6649   578,Hawaii HDF z,1975ApJ___197___55M,no survey
NGC  6649   578,Hawaii HDF HK,1975ApJ___197___55M,no images
NGC  6649   578,GOODS: HST NICMOS,1975ApJ___197___55M,no survey
NGC  6649   578,GOODS: VLT ISAAC J,1975ApJ___197___55M,no survey
NGC  6649   578,GOODS: VLT ISAAC H,1975ApJ___197___55M,no survey
NGC  6649   578,GOODS: VLT ISAAC Ks,1975ApJ___197___55M,no survey
NGC  6649   578,HUDF: VLT ISAAC Ks,1975ApJ___197___55M,no survey
NGC  6649   578,GOODS: Spitzer IRAC 3.6,1975ApJ___197___55M,no survey
NGC  6649   578,GOODS: Spitzer IRAC 4.5,1975ApJ___197___55M,no survey
NGC  6649   578,GOODS: Spitzer IRAC 5.8,1975ApJ___197___55M,no survey
NGC  6649   578,GOODS: Spitzer IRAC 8.0,1975ApJ___197___55M,no survey
NGC  6649   578,GOODS: Spitzer MIPS 24,1975ApJ___197___55M,no survey
NGC  6649   578,GOODS: Herschel 100,1975ApJ___197___55M,no survey
NGC  6649   578,GOODS: Herschel 160,1975ApJ___197___55M,no survey
NGC  6649   578,GOODS: Herschel 250,1975ApJ___197___55M,no survey
NGC  6649   578,GOODS: Herschel 350,1975ApJ___197___55M,no survey
NGC  6649   578,GOODS: Herschel 500,1975ApJ___197___55M,no survey
NGC  6649   578,CDFS: LESS,1975ApJ___197___55M,no survey
NGC  6649   578,GOODS: VLA North,1975ApJ___197___55M,no survey
